source_file,record_id,gene_id,gene_symbol,pattern_id,probe_id,gene,orientation,start_0based,end_0based_inclusive
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000671909.1,ENSG00000288299,LDHA,112,ASHG19A3A046196,LDHA,platform_forward_in_reference,1449,1508
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000672488.1,ENSG00000288299,LDHA,112,ASHG19A3A046196,LDHA,platform_forward_in_reference,1641,1700
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000673005.1,ENSG00000288299,LDHA,112,ASHG19A3A046196,LDHA,platform_forward_in_reference,661,720
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000372330.3,ENSG00000100985,MMP9,38,ASHG19A3A018390,MMP9,platform_forward_in_reference,2269,2328
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000708566.1,ENSG00000291748,COL3A1,12,ASHG19A3A016710,COL3A1,platform_forward_in_reference,326,385
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000708569.1,ENSG00000291748,COL3A1,12,ASHG19A3A016710,COL3A1,platform_forward_in_reference,326,385
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000708568.1,ENSG00000291748,COL3A1,12,ASHG19A3A016710,COL3A1,platform_forward_in_reference,305,364
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000361866.8,ENSG00000142156,COL6A1,18,ASHG19A3A019376,COL6A1,platform_forward_in_reference,2346,2405
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000463060.6,ENSG00000142156,COL6A1,18,ASHG19A3A019376,COL6A1,platform_forward_in_reference,664,723
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000498614.5,ENSG00000142156,COL6A1,18,ASHG19A3A019376,COL6A1,platform_forward_in_reference,499,558
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000612273.2,ENSG00000142156,COL6A1,18,ASHG19A3A019376,COL6A1,platform_forward_in_reference,391,450
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000682634.1,ENSG00000142156,COL6A1,18,ASHG19A3A019376,COL6A1,platform_forward_in_reference,391,450
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000486023.1,ENSG00000142156,COL6A1,18,ASHG19A3A019376,COL6A1,platform_forward_in_reference,53,112
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000389995.4,ENSG00000142168,SOD1,124,ASHG19A3A019150,SOD1,platform_forward_in_reference,336,395
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000270142.11,ENSG00000142168,SOD1,124,ASHG19A3A019150,SOD1,platform_forward_in_reference,366,425
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000470944.1,ENSG00000142168,SOD1,124,ASHG19A3A019150,SOD1,platform_forward_in_reference,1217,1276
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000649368.1,ENSG00000092758,COL9A3,148,ASHG19A3A018554,COL9A3,platform_forward_in_reference,2326,2385
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000466192.5,ENSG00000092758,COL9A3,148,ASHG19A3A018554,COL9A3,platform_forward_in_reference,2038,2097
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000462700.5,ENSG00000092758,COL9A3,148,ASHG19A3A018554,COL9A3,platform_forward_in_reference,1066,1125
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000467819.5,ENSG00000092758,COL9A3,148,ASHG19A3A018554,COL9A3,platform_forward_in_reference,822,881
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000274341.9,ENSG00000145681,HAPLN1,154,ASHG19A3A027059,HAPLN1,platform_forward_in_reference,0,59
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000456754.6,ENSG00000102265,TIMP1,46,ASHG19A3A040920,TIMP1,platform_forward_in_reference,634,693
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000218388.9,ENSG00000102265,TIMP1,46,ASHG19A3A040920,TIMP1,platform_forward_in_reference,395,454
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000377017.5,ENSG00000102265,TIMP1,46,ASHG19A3A040920,TIMP1,platform_forward_in_reference,252,311
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000445623.1,ENSG00000102265,TIMP1,46,ASHG19A3A040920,TIMP1,platform_forward_in_reference,221,280
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000219070.9,ENSG00000087245,MMP2,34,ASHG19A3A054595,MMP2,platform_forward_in_reference,11,70
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000481190.2,ENSG00000100292,HMOX1,110,ASHG19A3A020384,HMOX1,platform_forward_in_reference,1624,1683
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000216117.9,ENSG00000100292,HMOX1,110,ASHG19A3A020384,HMOX1,platform_forward_in_reference,1488,1547
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000677931.1,ENSG00000100292,HMOX1,110,ASHG19A3A020384,HMOX1,platform_forward_in_reference,996,1055
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000679074.1,ENSG00000100292,HMOX1,110,ASHG19A3A020384,HMOX1,platform_forward_in_reference,1388,1447
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000678411.1,ENSG00000100292,HMOX1,110,ASHG19A3A020384,HMOX1,platform_forward_in_reference,1017,1076
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000490638.5,ENSG00000137135,ARHGEF39,91,ASHG19A3A038533,CA9,platform_reverse_complement_in_reference,1523,1582
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000407540.8,ENSG00000132031,MATN3,160,ASHG19A3A013334,MATN3,platform_forward_in_reference,1382,1441
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000421259.2,ENSG00000132031,MATN3,160,ASHG19A3A013334,MATN3,platform_forward_in_reference,1253,1312
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000245479.3,ENSG00000125398,SOX9,162,ASHG19A3A009881,SOX9,platform_forward_in_reference,3772,3831
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000263734.5,ENSG00000116016,EPAS1,96,ASHG19A3A015604,EPAS1,platform_forward_in_reference,171,230
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000613606.2,ENSG00000274233,CCL5,54,ASHG19A3A008202,CCL5,platform_forward_in_reference,1302,1361
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000618639.4,ENSG00000274233,CCL5,54,ASHG19A3A008202,CCL5,platform_forward_in_reference,1181,1240
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000263341.7,ENSG00000125538,IL1B,64,ASHG19A3A014218,IL1B,platform_forward_in_reference,621,680
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000491056.5,ENSG00000125538,IL1B,64,ASHG19A3A014218,IL1B,platform_forward_in_reference,1341,1400
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000487639.1,ENSG00000125538,IL1B,64,ASHG19A3A014218,IL1B,platform_forward_in_reference,435,494
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000368636.9,ENSG00000176171,BNIP3,88,ASHG19A3A043455,BNIP3,platform_forward_in_reference,103,162
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000540159.4,ENSG00000176171,BNIP3,88,ASHG19A3A043455,BNIP3,platform_forward_in_reference,103,162
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000633835.2,ENSG00000176171,BNIP3,88,ASHG19A3A043455,BNIP3,platform_forward_in_reference,147,206
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000631806.1,ENSG00000176171,BNIP3,88,ASHG19A3A043455,BNIP3,platform_forward_in_reference,145,204
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000337138.9,ENSG00000100644,HIF1A,106,ASHG19A3A051502,HIF1A,platform_forward_in_reference,2561,2620
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000337138.9,ENSG00000100644,HIF1A,108,ASHG19A3A051503,HIF1A,platform_forward_in_reference,2949,3008
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000337138.9,ENSG00000100644,HIF1A,105,ASHG19A3A050857,HIF1A,platform_reverse_complement_in_reference,3099,3158
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000394997.5,ENSG00000100644,HIF1A,106,ASHG19A3A051502,HIF1A,platform_forward_in_reference,2537,2596
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000394997.5,ENSG00000100644,HIF1A,108,ASHG19A3A051503,HIF1A,platform_forward_in_reference,2925,2984
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000394997.5,ENSG00000100644,HIF1A,105,ASHG19A3A050857,HIF1A,platform_reverse_complement_in_reference,3075,3134
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000323441.10,ENSG00000100644,HIF1A,108,ASHG19A3A051503,HIF1A,platform_forward_in_reference,2558,2617
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000323441.10,ENSG00000100644,HIF1A,105,ASHG19A3A050857,HIF1A,platform_reverse_complement_in_reference,2708,2767
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000557538.5,ENSG00000100644,HIF1A,106,ASHG19A3A051502,HIF1A,platform_forward_in_reference,2570,2629
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000557538.5,ENSG00000100644,HIF1A,108,ASHG19A3A051503,HIF1A,platform_forward_in_reference,2958,3017
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000557538.5,ENSG00000100644,HIF1A,105,ASHG19A3A050857,HIF1A,platform_reverse_complement_in_reference,3108,3167
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000539097.2,ENSG00000100644,HIF1A,106,ASHG19A3A051502,HIF1A,platform_forward_in_reference,2570,2629
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000539097.2,ENSG00000100644,HIF1A,108,ASHG19A3A051503,HIF1A,platform_forward_in_reference,2958,3017
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000539097.2,ENSG00000100644,HIF1A,105,ASHG19A3A050857,HIF1A,platform_reverse_complement_in_reference,3108,3167
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000556827.1,ENSG00000100644,HIF1A,106,ASHG19A3A051502,HIF1A,platform_forward_in_reference,153,212
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000556827.1,ENSG00000100644,HIF1A,108,ASHG19A3A051503,HIF1A,platform_forward_in_reference,541,600
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000556827.1,ENSG00000100644,HIF1A,105,ASHG19A3A050857,HIF1A,platform_reverse_complement_in_reference,691,750
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000266718.5,ENSG00000139329,LUM,30,ASHG19A3A047881,LUM,platform_forward_in_reference,920,979
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000548071.1,ENSG00000139329,LUM,30,ASHG19A3A047881,LUM,platform_forward_in_reference,195,254
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000546642.1,ENSG00000139329,LUM,30,ASHG19A3A047881,LUM,platform_forward_in_reference,552,611
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000052754.10,ENSG00000011465,DCN,22,ASHG19A3A047884,DCN,platform_forward_in_reference,103,162
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000393155.6,ENSG00000011465,DCN,22,ASHG19A3A047884,DCN,platform_forward_in_reference,503,562
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000552962.5,ENSG00000011465,DCN,22,ASHG19A3A047884,DCN,platform_forward_in_reference,110,169
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000547568.6,ENSG00000011465,DCN,22,ASHG19A3A047884,DCN,platform_forward_in_reference,91,150
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000231004.5,ENSG00000113083,LOX,26,ASHG19A3A027291,LOX,platform_forward_in_reference,802,861
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000639739.2,ENSG00000113083,LOX,26,ASHG19A3A027291,LOX,platform_forward_in_reference,956,1015
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000508067.1,ENSG00000113083,LOX,26,ASHG19A3A027291,LOX,platform_forward_in_reference,15,74
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000370238.8,ENSG00000023909,GCLM,100,ASHG19A3A048324,GCLM,platform_forward_in_reference,742,801
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000370238.8,ENSG00000023909,GCLM,98,ASHG19A3A048316,GCLM,platform_forward_in_reference,4745,4804
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000467772.1,ENSG00000023909,GCLM,100,ASHG19A3A048324,GCLM,platform_forward_in_reference,475,534
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000615724.1,ENSG00000023909,GCLM,100,ASHG19A3A048324,GCLM,platform_forward_in_reference,702,761
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000445232.2,ENSG00000228978,TNF,84,ASHG19A3A031293,TNF,platform_forward_in_reference,1252,1311
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000380518.8,ENSG00000139219,COL2A1,140,ASHG19A3A005596,COL2A1,platform_forward_in_reference,3457,3516
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000380518.8,ENSG00000139219,COL2A1,142,ASHG19A3A047527,COL2A1,platform_forward_in_reference,4169,4228
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000493991.5,ENSG00000139219,COL2A1,140,ASHG19A3A005596,COL2A1,platform_forward_in_reference,2388,2447
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000493991.5,ENSG00000139219,COL2A1,142,ASHG19A3A047527,COL2A1,platform_forward_in_reference,3100,3159
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000337299.7,ENSG00000139219,COL2A1,140,ASHG19A3A005596,COL2A1,platform_forward_in_reference,3280,3339
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000337299.7,ENSG00000139219,COL2A1,142,ASHG19A3A047527,COL2A1,platform_forward_in_reference,3992,4051
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000546974.1,ENSG00000139219,COL2A1,140,ASHG19A3A005596,COL2A1,platform_forward_in_reference,155,214
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000378357.9,ENSG00000107159,CA9,90,ASHG19A3A038533,CA9,platform_forward_in_reference,356,415
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000440286.6,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,470,529
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000422680.6,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,585,644
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000618670.4,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,486,545
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000612051.1,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,402,461
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000445622.6,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,541,600
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000686378.1,ENSG00000269335,IKBKG,60,ASHG19A3A002775,IKBKG,platform_forward_in_reference,370,429
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000686378.1,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,676,735
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000413620.6,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,531,590
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000692816.1,ENSG00000269335,IKBKG,60,ASHG19A3A002775,IKBKG,platform_forward_in_reference,331,390
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000692816.1,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,637,696
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000686774.1,ENSG00000269335,IKBKG,60,ASHG19A3A002775,IKBKG,platform_forward_in_reference,331,390
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000686774.1,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,637,696
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000687445.1,ENSG00000269335,IKBKG,60,ASHG19A3A002775,IKBKG,platform_forward_in_reference,331,390
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000687445.1,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,637,696
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000693029.1,ENSG00000269335,IKBKG,60,ASHG19A3A002775,IKBKG,platform_forward_in_reference,331,390
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000693029.1,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,637,696
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000689906.1,ENSG00000269335,IKBKG,60,ASHG19A3A002775,IKBKG,platform_forward_in_reference,331,390
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000689906.1,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,637,696
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000594239.6,ENSG00000269335,IKBKG,60,ASHG19A3A002775,IKBKG,platform_forward_in_reference,97,156
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000594239.6,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,403,462
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000692948.1,ENSG00000269335,IKBKG,60,ASHG19A3A002775,IKBKG,platform_forward_in_reference,97,156
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000692948.1,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,403,462
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000615874.4,ENSG00000269335,IKBKG,60,ASHG19A3A002775,IKBKG,platform_forward_in_reference,79,138
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000615874.4,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,385,444
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000619941.4,ENSG00000269335,IKBKG,60,ASHG19A3A002775,IKBKG,platform_forward_in_reference,79,138
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000619941.4,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,385,444
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000617207.4,ENSG00000269335,IKBKG,60,ASHG19A3A002775,IKBKG,platform_forward_in_reference,76,135
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000617207.4,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,382,441
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000611176.4,ENSG00000269335,IKBKG,60,ASHG19A3A002775,IKBKG,platform_forward_in_reference,75,134
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000611176.4,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,381,440
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000611071.4,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,520,579
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000492469.3,ENSG00000269335,IKBKG,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,262,321
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000282077.8,ENSG00000152256,PDK1,118,ASHG19A3A016601,PDK1,platform_forward_in_reference,945,1004
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000282077.8,ENSG00000152256,PDK1,117,ASHG19A3A014626,PDK1,platform_reverse_complement_in_reference,11982,12041
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000392571.6,ENSG00000152256,PDK1,118,ASHG19A3A016601,PDK1,platform_forward_in_reference,1088,1147
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000410055.5,ENSG00000152256,PDK1,118,ASHG19A3A016601,PDK1,platform_forward_in_reference,984,1043
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000466437.1,ENSG00000152256,PDK1,118,ASHG19A3A016601,PDK1,platform_forward_in_reference,179,238
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000376122.3,ENSG00000204490,TNF,84,ASHG19A3A031293,TNF,platform_forward_in_reference,1613,1672
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000667629.1,ENSG00000135766,EGLN1,95,ASHG19A3A041749,EGLN1,platform_reverse_complement_in_reference,2646,2705
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000366641.4,ENSG00000135766,EGLN1,92,ASHG19A3A012420,EGLN1,platform_forward_in_reference,1474,1533
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000366641.4,ENSG00000135766,EGLN1,95,ASHG19A3A041749,EGLN1,platform_reverse_complement_in_reference,3878,3937
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000658954.1,ENSG00000135766,EGLN1,92,ASHG19A3A012420,EGLN1,platform_forward_in_reference,449,508
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000654803.1,ENSG00000135766,EGLN1,92,ASHG19A3A012420,EGLN1,platform_forward_in_reference,297,356
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000476717.2,ENSG00000135766,EGLN1,92,ASHG19A3A012420,EGLN1,platform_forward_in_reference,352,411
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000663780.1,ENSG00000135766,EGLN1,92,ASHG19A3A012420,EGLN1,platform_forward_in_reference,175,234
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000653908.1,ENSG00000287856,,95,ASHG19A3A041749,EGLN1,platform_reverse_complement_in_reference,2872,2931
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000653198.1,ENSG00000287856,,92,ASHG19A3A012420,EGLN1,platform_forward_in_reference,617,676
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000653198.1,ENSG00000287856,,95,ASHG19A3A041749,EGLN1,platform_reverse_complement_in_reference,3021,3080
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000662216.1,ENSG00000287856,,92,ASHG19A3A012420,EGLN1,platform_forward_in_reference,682,741
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000420425.2,ENSG00000228849,TNF,84,ASHG19A3A031293,TNF,platform_forward_in_reference,1613,1672
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000225964.10,ENSG00000108821,COL1A1,4,ASHG19A3A000539,COL1A1,platform_forward_in_reference,3138,3197
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000225964.10,ENSG00000108821,COL1A1,9,ASHG19A3A009698,COL1A1,platform_reverse_complement_in_reference,4567,4626
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000225964.10,ENSG00000108821,COL1A1,7,ASHG19A3A009697,COL1A1,platform_reverse_complement_in_reference,5784,5843
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000642985.1,ENSG00000285082,,82,ASHG19A3A005868,TLR4,platform_forward_in_reference,384,443
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000443707.2,ENSG00000230108,TNF,84,ASHG19A3A031293,TNF,platform_forward_in_reference,1613,1672
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000355622.8,ENSG00000136869,TLR4,82,ASHG19A3A005868,TLR4,platform_forward_in_reference,138,197
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000448781.2,ENSG00000223952,TNF,84,ASHG19A3A031293,TNF,platform_forward_in_reference,1613,1672
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000697954.1,ENSG00000100906,NFKBIA,72,ASHG19A3A050706,NFKBIA,platform_forward_in_reference,1555,1614
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000697955.1,ENSG00000100906,NFKBIA,72,ASHG19A3A050706,NFKBIA,platform_forward_in_reference,1594,1653
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000697956.1,ENSG00000100906,NFKBIA,72,ASHG19A3A050706,NFKBIA,platform_forward_in_reference,1622,1681
