module_id,gene,gene_id,canonical_transcript,assembly,candidate_probe_count,candidate_probe_ids,locked_gene_collision_probe_count,locked_gene_collision_probe_ids,mapping_status
inflammatory_nfkb,IKBKG,ENSG00000269335,ENST00000594239.6,GRCh38,2,ASHG19A3A002775;ASHG19A3A040600,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,IL1B,ENSG00000125538,ENST00000263341.7,GRCh38,1,ASHG19A3A014218,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,IL6,ENSG00000136244,ENST00000258743.10,GRCh38,1,ASHG19A3A034044,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,JUN,ENSG00000177606,ENST00000371222.4,GRCh38,1,ASHG19A3A046493,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,NFKB1,ENSG00000109320,ENST00000226574.9,GRCh38,1,ASHG19A3A025840,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,NFKB2,ENSG00000077150,ENST00000661543.1,GRCh38,0,,0,,no_exact_canonical_transcript_match
inflammatory_nfkb,NFKBIA,ENSG00000100906,ENST00000216797.10,GRCh38,1,ASHG19A3A050706,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,NLRP3,ENSG00000162711,ENST00000336119.8,GRCh38,1,ASHG19A3A042299,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,RELA,ENSG00000173039,ENST00000406246.8,GRCh38,0,,0,,no_exact_canonical_transcript_match
inflammatory_nfkb,RELB,ENSG00000104856,ENST00000221452.13,GRCh38,1,ASHG19A3A012800,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,STAT3,ENSG00000168610,ENST00000264657.10,GRCh38,0,,0,,no_exact_canonical_transcript_match
inflammatory_nfkb,TICAM1,ENSG00000127666,ENST00000248244.6,GRCh38,1,ASHG19A3A010909,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,TLR2,ENSG00000137462,ENST00000642700.2,GRCh38,1,ASHG19A3A026178,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,TLR4,ENSG00000136869,ENST00000355622.8,GRCh38,1,ASHG19A3A005868,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,TNF,ENSG00000232810,ENST00000449264.3,GRCh38,1,ASHG19A3A031293,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,TNFRSF1A,ENSG00000067182,ENST00000162749.7,GRCh38,1,ASHG19A3A047221,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,BNIP3,ENSG00000176171,ENST00000368636.9,GRCh38,1,ASHG19A3A043455,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,CA9,ENSG00000107159,ENST00000378357.9,GRCh38,1,ASHG19A3A038533,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,EGLN1,ENSG00000135766,ENST00000366641.4,GRCh38,2,ASHG19A3A012420;ASHG19A3A041749,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,EPAS1,ENSG00000116016,ENST00000263734.5,GRCh38,1,ASHG19A3A015604,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,GCLM,ENSG00000023909,ENST00000370238.8,GRCh38,2,ASHG19A3A048316;ASHG19A3A048324,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,GPX1,ENSG00000233276,ENST00000419783.3,GRCh38,1,ASHG19A3A000593,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,HIF1A,ENSG00000100644,ENST00000337138.9,GRCh38,3,ASHG19A3A050857;ASHG19A3A051502;ASHG19A3A051503,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,HMOX1,ENSG00000100292,ENST00000216117.9,GRCh38,1,ASHG19A3A020384,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,LDHA,ENSG00000134333,ENST00000422447.8,GRCh38,1,ASHG19A3A046196,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,NFE2L2,ENSG00000116044,ENST00000397062.8,GRCh38,0,,0,,no_exact_canonical_transcript_match
hypoxia_oxidative_stress,NQO1,ENSG00000181019,ENST00000320623.10,GRCh38,1,ASHG19A3A000627,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,PDK1,ENSG00000152256,ENST00000282077.8,GRCh38,2,ASHG19A3A014626;ASHG19A3A016601,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,PRDX1,ENSG00000117450,ENST00000319248.13,GRCh38,1,ASHG19A3A006572,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,SLC2A1,ENSG00000117394,ENST00000426263.10,GRCh38,1,ASHG19A3A044423,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,SOD1,ENSG00000142168,ENST00000270142.11,GRCh38,1,ASHG19A3A019150,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,SOD2,ENSG00000291237,ENST00000538183.7,GRCh38,3,ASHG19A3A030767;ASHG19A3A030768;ASHG19A3A030769,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,TXN,ENSG00000136810,ENST00000374517.6,GRCh38,1,ASHG19A3A037890,0,,sequence_match_unique_within_locked_genes
hypoxia_oxidative_stress,VEGFA,ENSG00000112715,ENST00000672860.3,GRCh38,0,,0,,no_exact_canonical_transcript_match
disc_matrix_homeostasis,ACAN,ENSG00000157766,ENST00000560601.4,GRCh38,1,ASHG19A3A053212,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,B3GAT1,ENSG00000109956,ENST00000312527.9,GRCh38,1,ASHG19A3A045906,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,BGN,ENSG00000182492,ENST00000331595.9,GRCh38,1,ASHG19A3A041724,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,CILP,ENSG00000138615,ENST00000261883.6,GRCh38,0,,0,,no_exact_canonical_transcript_match
disc_matrix_homeostasis,COL2A1,ENSG00000139219,ENST00000380518.8,GRCh38,2,ASHG19A3A005596;ASHG19A3A047527,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,COL9A1,ENSG00000112280,ENST00000357250.11,GRCh38,1,ASHG19A3A030120,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,COL9A2,ENSG00000049089,ENST00000372748.8,GRCh38,1,ASHG19A3A044088,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,COL9A3,ENSG00000092758,ENST00000649368.1,GRCh38,1,ASHG19A3A018554,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,COMP,ENSG00000105664,ENST00000222271.7,GRCh38,1,ASHG19A3A011229,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,FMOD,ENSG00000122176,ENST00000354955.5,GRCh38,1,ASHG19A3A009976,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,HAPLN1,ENSG00000145681,ENST00000274341.9,GRCh38,1,ASHG19A3A027059,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,HAS2,ENSG00000170961,ENST00000303924.5,GRCh38,1,ASHG19A3A036097,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,KRT19,ENSG00000171345,ENST00000361566.7,GRCh38,1,ASHG19A3A008338,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,MATN3,ENSG00000132031,ENST00000407540.8,GRCh38,1,ASHG19A3A013334,0,,sequence_match_unique_within_locked_genes
disc_matrix_homeostasis,SOX9,ENSG00000125398,ENST00000245479.3,GRCh38,1,ASHG19A3A009881,0,,sequence_match_unique_within_locked_genes
