source_file,record_id,pattern_id,probe_id,gene,orientation,start_1based,end_1based,sequence_length
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,16,34,ASHG19A3A054595,MMP2,platform_forward_in_reference,55479209,55479268,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,17,52,ASHG19A3A009392,CCL2,platform_forward_in_reference,34256252,34256311,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,17,55,ASHG19A3A008202,CCL5,platform_reverse_complement_in_reference,35871494,35871553,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,17,159,ASHG19A3A008338,KRT19,platform_reverse_complement_in_reference,41523618,41523677,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,17,6,ASHG19A3A009697,COL1A1,platform_forward_in_reference,50184171,50184230,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,17,8,ASHG19A3A009698,COL1A1,platform_forward_in_reference,50185388,50185447,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,17,162,ASHG19A3A009881,SOX9,platform_forward_in_reference,72126258,72126317,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,17,49,ASHG19A3A008851,TIMP2,platform_reverse_complement_in_reference,78873836,78873895,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,19,79,ASHG19A3A010909,TICAM1,platform_reverse_complement_in_reference,4815967,4816026,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,19,151,ASHG19A3A011229,COMP,platform_reverse_complement_in_reference,18786533,18786592,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,19,76,ASHG19A3A012800,RELB,platform_forward_in_reference,45038132,45038191,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,2,161,ASHG19A3A013334,MATN3,platform_reverse_complement_in_reference,19994299,19994358,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,2,96,ASHG19A3A015604,EPAS1,platform_forward_in_reference,46297578,46297637,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,2,65,ASHG19A3A014218,IL1B,platform_reverse_complement_in_reference,112831295,112831354,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,2,118,ASHG19A3A016601,PDK1,platform_forward_in_reference,172570764,172570823,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,2,117,ASHG19A3A014626,PDK1,platform_reverse_complement_in_reference,172606580,172606639,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,2,12,ASHG19A3A016710,COL3A1,platform_forward_in_reference,188984890,188984949,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,2,17,ASHG19A3A014759,COL5A2,platform_reverse_complement_in_reference,189039403,189039462,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,2,25,ASHG19A3A014964,FN1,platform_reverse_complement_in_reference,215392947,215393006,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,2,21,ASHG19A3A015158,COL6A3,platform_reverse_complement_in_reference,237394623,237394682,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,20,38,ASHG19A3A018390,MMP9,platform_forward_in_reference,46016495,46016554,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,20,148,ASHG19A3A018554,COL9A3,platform_forward_in_reference,62840989,62841048,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,21,3,ASHG19A3A018713,ADAMTS5,platform_reverse_complement_in_reference,26932069,26932128,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,21,124,ASHG19A3A019150,SOD1,platform_forward_in_reference,31667308,31667367,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,21,18,ASHG19A3A019376,COL6A1,platform_forward_in_reference,46002542,46002601,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,22,110,ASHG19A3A020384,HMOX1,platform_forward_in_reference,35394142,35394201,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,4,56,ASHG19A3A025675,CXCL8,platform_forward_in_reference,73741618,73741677,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,4,70,ASHG19A3A025840,NFKB1,platform_forward_in_reference,102567015,102567074,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,4,80,ASHG19A3A026178,TLR2,platform_forward_in_reference,153706018,153706077,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,5,155,ASHG19A3A027059,HAPLN1,platform_reverse_complement_in_reference,83720796,83720855,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,5,27,ASHG19A3A027291,LOX,platform_reverse_complement_in_reference,122077398,122077457,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,5,45,ASHG19A3A027602,SPARC,platform_reverse_complement_in_reference,151661479,151661538,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,6,84,ASHG19A3A031293,TNF,platform_forward_in_reference,31578274,31578333,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,6,145,ASHG19A3A030120,COL9A1,platform_reverse_complement_in_reference,70294170,70294229,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,6,127,ASHG19A3A030767,SOD2,platform_reverse_complement_in_reference,159679999,159680058,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,6,129,ASHG19A3A030768,SOD2,platform_reverse_complement_in_reference,159681956,159682015,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,6,131,ASHG19A3A030769,SOD2,platform_reverse_complement_in_reference,159688126,159688185,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,7,66,ASHG19A3A034044,IL6,platform_forward_in_reference,22727571,22727630,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,7,10,ASHG19A3A034720,COL1A2,platform_forward_in_reference,94429366,94429425,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,8,29,ASHG19A3A035610,LOXL2,platform_reverse_complement_in_reference,23298873,23298932,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,8,58,ASHG19A3A036570,IKBKB,platform_forward_in_reference,42305212,42305271,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,8,157,ASHG19A3A036097,HAS2,platform_reverse_complement_in_reference,121640910,121640969,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,9,90,ASHG19A3A038533,CA9,platform_forward_in_reference,35674284,35674343,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,9,133,ASHG19A3A037890,TXN,platform_reverse_complement_in_reference,110244124,110244183,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,9,51,ASHG19A3A037957,TNC,platform_reverse_complement_in_reference,115048458,115048517,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,9,14,ASHG19A3A039411,COL5A1,platform_forward_in_reference,134690937,134690996,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,X,103,ASHG19A3A000593,GPX1,platform_reverse_complement_in_reference,13379060,13379119,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,X,46,ASHG19A3A040920,TIMP1,platform_forward_in_reference,47585563,47585622,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,X,138,ASHG19A3A041724,BGN,platform_forward_in_reference,153504708,153504767,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,X,62,ASHG19A3A040600,IKBKG,platform_forward_in_reference,154556240,154556299,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,X,63,ASHG19A3A040600,IKBKG,platform_reverse_complement_in_reference,154648139,154648198,60
