dataset,matrix_file,gsm,sample_title,matrix_column,comparison_group,tissue,recorded_disease_state,recorded_grade,contrast_interpretation,mapping_rule,mapping_status,identity_unit
GSE167931,GSE167931_AllSamplesTPMValue.txt.gz,GSM5115830,NP-E-5,NP_E_5,degenerated,,,,degenerated NP cells minus normal NP cells,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE56081,GSE56081_series_matrix.txt.gz,GSM1354764,Nucleus pulposus_control_1,GSM1354764,control_grade_I,Nucleus pulposus,,,degenerated grade IV/V NP tissue minus control grade I NP tissue,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE56081,GSE56081_series_matrix.txt.gz,GSM1354765,Nucleus pulposus_control_2,GSM1354765,control_grade_I,Nucleus pulposus,,,degenerated grade IV/V NP tissue minus control grade I NP tissue,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE56081,GSE56081_series_matrix.txt.gz,GSM1354766,Nucleus pulposus_control_3,GSM1354766,control_grade_I,Nucleus pulposus,,,degenerated grade IV/V NP tissue minus control grade I NP tissue,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE56081,GSE56081_series_matrix.txt.gz,GSM1354767,Nucleus pulposus_control_4,GSM1354767,control_grade_I,Nucleus pulposus,,,degenerated grade IV/V NP tissue minus control grade I NP tissue,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE56081,GSE56081_series_matrix.txt.gz,GSM1354768,Nucleus pulposus_control_5,GSM1354768,control_grade_I,Nucleus pulposus,,,degenerated grade IV/V NP tissue minus control grade I NP tissue,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE56081,GSE56081_series_matrix.txt.gz,GSM1354769,Nucleus pulposus_degenerated_1,GSM1354769,degenerated_grade_IV_to_V,Nucleus pulposus,,,degenerated grade IV/V NP tissue minus control grade I NP tissue,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE56081,GSE56081_series_matrix.txt.gz,GSM1354770,Nucleus pulposus_degenerated_2,GSM1354770,degenerated_grade_IV_to_V,Nucleus pulposus,,,degenerated grade IV/V NP tissue minus control grade I NP tissue,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE56081,GSE56081_series_matrix.txt.gz,GSM1354771,Nucleus pulposus_degenerated_3,GSM1354771,degenerated_grade_IV_to_V,Nucleus pulposus,,,degenerated grade IV/V NP tissue minus control grade I NP tissue,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE56081,GSE56081_series_matrix.txt.gz,GSM1354772,Nucleus pulposus_degenerated_4,GSM1354772,degenerated_grade_IV_to_V,Nucleus pulposus,,,degenerated grade IV/V NP tissue minus control grade I NP tissue,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE56081,GSE56081_series_matrix.txt.gz,GSM1354773,Nucleus pulposus_degenerated_5,GSM1354773,degenerated_grade_IV_to_V,Nucleus pulposus,,,degenerated grade IV/V NP tissue minus control grade I NP tissue,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
