dataset,gsm,donor_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_supplied_value,matrix_status,analysis_role
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,4.26501029,score_available,0.952381,6614,25356335.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,5.28264846,score_available,1.000000,6614,25356335.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,4.82778354,score_available,1.000000,6614,25356335.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048714,Sample7,NP,severe,ecm_collagen_remodeling,6.90599610,score_available,1.000000,6835,35277305.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048714,Sample7,NP,severe,inflammatory_nfkb,4.23919273,score_available,0.952381,6835,35277305.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048714,Sample7,NP,severe,hypoxia_oxidative_stress,5.05990468,score_available,1.000000,6835,35277305.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048714,Sample7,NP,severe,disc_matrix_homeostasis,5.11706010,score_available,1.000000,6835,35277305.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048715,Sample8,NP,severe,ecm_collagen_remodeling,6.15584774,score_available,1.000000,5957,9957021.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048715,Sample8,NP,severe,inflammatory_nfkb,5.12277097,score_available,1.000000,5957,9957021.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048715,Sample8,NP,severe,hypoxia_oxidative_stress,4.88085667,score_available,1.000000,5957,9957021.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048715,Sample8,NP,severe,disc_matrix_homeostasis,4.17531090,score_available,1.000000,5957,9957021.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
