release_groups	local_path	accession	resource_role	asset_kind	source	url	bytes	sha256	notes
default	data/raw/GSE153066_AllSample.counts.tsv.gz	GSE153066	NP external count-level direction-support input	processed_count_matrix	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153066/suppl/GSE153066_AllSample.counts.tsv.gz	100366013	ca081538d81d671bafe4af4e1e161a8a8140fc3d9d35e44c66f42cade24decb1	Default analysis external support.
default	data/raw/GSE153066_family.soft.gz	GSE153066	GEO sample metadata for GSE153066	soft_metadata	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153066/soft/GSE153066_family.soft.gz	2793	974b09e054b3d3dcbb42ab932cc0bca23a7f09ae35058599be7787f77d1401b0	Default analysis metadata.
exploratory	data/raw/GSE251686_RAW.tar	GSE251686	Isolated exploratory NP scRNA-seq input	raw_archive	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE251nnn/GSE251686/suppl/GSE251686_RAW.tar	287856640	7b95a5eec4aa249ebdc3eb93caa5a7f9b0ab0c4cebceaa440cfe4fdb3a31a4b4	Not part of the frozen default summary.
exploratory	data/raw/GSE251686_filelist.txt	GSE251686	GEO supplementary-file listing	file_list	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE251nnn/GSE251686/suppl/filelist.txt	580	69cd8d9e1020923370e59dd05fbadf0524bba1a0442cc0b45c331f9fea6dc406	Needed by the nested-archive audit.
exploratory	data/raw/GSE251686_family.soft.gz	GSE251686	GEO sample metadata for GSE251686	soft_metadata	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE251nnn/GSE251686/soft/GSE251686_family.soft.gz	2498	a3248b36f0f56746e4cc0315abeefb851c97bcc86f4f0d8798c120360cdd4f23	Exploratory analysis metadata.
s8;s9	data/raw/geo_candidates/GSE186542/GSE186542_gene_expression.txt.gz	GSE186542	Post hoc NP score-level input	processed_expression	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186542/suppl/GSE186542_gene_expression.txt.gz	2308801	6bc5f65815d5cf6814075359941fb76c3f4dabfd04fd007d897ac7da8bb9d6d0	S8/S9 only; source-processing labels are internally inconsistent.
s8;s9	data/raw/geo_candidates/GSE186542/GSE186542_family.soft.gz	GSE186542	GEO sample metadata for GSE186542	soft_metadata	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186542/soft/GSE186542_family.soft.gz	2539	4d5a3e8ce9b3f3f1f2a4a7028a2d03549014da6d6f0fe799798a3298c19c6dbd	S8/S9 metadata.
s8;s9	data/raw/geo_candidates/GSE186542/GSE186542_series_matrix.txt.gz	GSE186542	GEO series matrix	series_matrix	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186542/matrix/GSE186542_series_matrix.txt.gz	2396	48ef8ca353620aba8d440fb6f0468cb41095617a17f233c0f46f55e99b2dd280	S8/S9 metadata cross-check.
s8	data/raw/geo_candidates/GSE167931/GSE167931_AllSamplesFPKMValue.txt.gz	GSE167931	S8 normalized-expression input	processed_expression	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167931/suppl/GSE167931_AllSamplesFPKMValue.txt.gz	1355310	0aaf28897bf474c753af1ca99522bf3b40816645aa88d6f03aba22c0ad18b159	S8 uses the FPKM representation once.
s8	data/raw/geo_candidates/GSE167931/GSE167931_AllSamplesTPMValue.txt.gz	GSE167931	S8 same-sample processing sensitivity input	processed_expression	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167931/suppl/GSE167931_AllSamplesTPMValue.txt.gz	1272723	91bff01e37af8f8ae147eaed12160207d2ded60a307f8c065d4a699abb8faf03	TPM is a same-sample processing sensitivity, not another cohort.
s8	data/raw/geo_candidates/GSE167931/GSE167931_family.soft.gz	GSE167931	GEO sample metadata for GSE167931	soft_metadata	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167931/soft/GSE167931_family.soft.gz	2765	d1f5c0f1dbd67f5b6671a9d5dba2780fab35d0017d252dcfb703bcb080e7bb91	S8 metadata.
s8	data/raw/geo_candidates/GSE167931/GSE167931_series_matrix.txt.gz	GSE167931	GEO series matrix	series_matrix	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167931/matrix/GSE167931_series_matrix.txt.gz	2571	90574f2bf67aeb0c35cb68a9062b30debcc3ed148a55283b97d5bad3962eb269	S8 metadata cross-check.
s9	data/raw/geo_candidates/GSE245147/GSE245147_Degenerated_NO_Degenerated_RPKM.txt.gz	GSE245147	S9 source-family replacement input	processed_expression	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245147/suppl/GSE245147_Degenerated_NO_Degenerated_RPKM.txt.gz	5176537	c38138377d0d1c2f8b3a5281bb48afa400a249242c3eabc5298098994c3c6974	S9 replaces GSE167931; do not pool the two source families.
s9	data/raw/geo_candidates/GSE245147/GSE245147_family.soft.gz	GSE245147	GEO sample metadata for GSE245147	soft_metadata	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245147/soft/GSE245147_family.soft.gz	4087	b2ad28ebbd80c0e6823854b086e4bf10dea4ded8ae149804721236015f4c96d8	S9 metadata.
s9	data/raw/geo_candidates/GSE245147/GSE245147_series_matrix.txt.gz	GSE245147	GEO series matrix	series_matrix	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245147/matrix/GSE245147_series_matrix.txt.gz	3903	c29e5c279a18e0bddec271e49763d1ade43d9ee4524d3ee426a1f2d2367a4e6b	S9 metadata cross-check.
candidate	data/raw/geo_candidates/GSE56081/GSE56081_RAW.tar	GSE56081	Candidate microarray raw input	raw_archive	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56081/suppl/GSE56081_RAW.tar	58859520	084c6bcb6deeb143dd003f333c51c166e1f11fbafc4bec87cedb69ff30dd2d98	Candidate only; excluded by the probe-specificity gate.
candidate	data/raw/geo_candidates/GSE56081/GSE56081_family.soft.gz	GSE56081	GEO sample metadata for GSE56081	soft_metadata	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56081/soft/GSE56081_family.soft.gz	3934805	851c5d34891098298f86b267825c4d19689ca83fb4515f1e5e815a02820d0508	Candidate-only metadata.
candidate	data/raw/geo_candidates/GSE56081/GSE56081_series_matrix.txt.gz	GSE56081	GEO series matrix	series_matrix	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56081/matrix/GSE56081_series_matrix.txt.gz	1318723	8d4b9309b01e9073d7131c3363dcd3c5fcbd4b6f52fcc7fc587b2b95c8537025	Candidate-only metadata cross-check.
candidate	data/raw/geo_candidates/GSE56081/GSE67567_parent_family.soft.gz	GSE67567	Parent GEO metadata used for candidate identity audit	soft_metadata	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67567/soft/GSE67567_family.soft.gz	4518509	de08f63a874342bc863409c81482d7d7a3caea77cf66e2de83d8a3118d310017	Candidate identity audit support.
candidate	data/raw/geo_candidates/GPL15314/GPL15314_family.soft.gz	GPL15314	Array platform annotation	platform_annotation	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL15nnn/GPL15314/soft/GPL15314_family.soft.gz	110869528	ac0c869d806fde56c24ba0927688f00026d44b1f40db7f80bca64c6e44dee1f2	Candidate probe-specificity audit support.
candidate	data/raw/geo_candidates/GSE266883/GSE266883_IVDD_Normal_RPKM.txt.gz	GSE266883	Excluded candidate processed-expression input	processed_expression	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266883/suppl/GSE266883_IVDD_Normal_RPKM.txt.gz	4998252	ef0be7573e04def661611d3abcaefe8ddb4e229eff2482c69d31f10fa2dce6c2	Candidate excluded by source-family considerations.
candidate	data/raw/geo_candidates/GSE266883/GSE266883_family.soft.gz	GSE266883	GEO sample metadata for GSE266883	soft_metadata	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266883/soft/GSE266883_family.soft.gz	3800	2d2fd25917da68150bd82ca28e5bf3f52ff5498a6627b3f77ab484f69b815ffc	Candidate-only metadata.
reference	data/raw/reference/ensembl_release_113/Homo_sapiens.GRCh38.113.gtf.gz	Ensembl release 113	Gene annotation reference	gtf	Ensembl	https://ftp.ensembl.org/pub/release-113/gtf/homo_sapiens/Homo_sapiens.GRCh38.113.gtf.gz	64141785	62f1709b40e083ce9d4cdc64a86b5ffec2c5d5371434bb7095c74dc89079c466	Required only for the candidate probe-specificity audit.
reference	data/raw/reference/ensembl_release_113/Homo_sapiens.GRCh38.cdna.all.fa.gz	Ensembl release 113	cDNA reference	fasta	Ensembl	https://ftp.ensembl.org/pub/release-113/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh38.cdna.all.fa.gz	79685174	34f848e2dd9c2a4e30d6ff2c7918a3e06c51fe1716c1e955e71e0c36ce28d5ad	Required only for the candidate probe-specificity audit.
reference	data/raw/reference/ensembl_release_113/Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz	Ensembl release 113	Primary genomic DNA reference	fasta	Ensembl	https://ftp.ensembl.org/pub/release-113/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz	881964081	d8c3af0094a7bba6125763bad779ec18a81483c739c6ed122094bdf86c187b92	Required only for the candidate probe-specificity audit.
reference	data/raw/reference/ensembl_release_113/Homo_sapiens.GRCh38.ncrna.fa.gz	Ensembl release 113	ncRNA reference	fasta	Ensembl	https://ftp.ensembl.org/pub/release-113/fasta/homo_sapiens/ncrna/Homo_sapiens.GRCh38.ncrna.fa.gz	40965413	3a5e436d438d17af848492011c361848b59aab85f169fbe631d540fa07aa57b5	Required only for the candidate probe-specificity audit.
